partNumber,dbaCode,description,category,value,package,qtyOnHand,reelQty,feederSlot,eagleDevice,eaglePackage,unitCost,altParts,issueQty2yr,issueTxnCount,matchConfidence,designUsage
GP_1000V_1A_SOD-123F,DSM0023,Zener Diode 12V 1/2W SOD123,diode,,SOD-123F,,500,,GP_1000V_1A_SOD-123F,SOD-123F,,,12422,18,medium,13
LED_RED_0805,L0002A,LED T1-3/4 RED LF,led,RED,LEDC2012X110N_B,,250,,LED_RED_0805,LEDC2012X110N_B,,,12330,43,medium,62
10K_0603,R0215,10K 0.5% 25 ppm  1/4 w,resistor,10K,RESC1608X60,,500,,10K_0603,RESC1608X60,,,12180,27,low,400
100^_0603,R0114,100^  5%  0.50W,resistor,100^,RESC1608X60,,500,,100^_0603,RESC1608X60,,,11904,27,low,140
10UF_1206_10%_25V,C0141,10uF  electrolytic  400V 20%,capacitor,10UF,CAPC3216X135,,250,,10UF_1206_10%_25V,CAPC3216X135,,,11824,33,low,10
L0074,L0074,RottndogAlphaNumerics CUST SUP,led,,L0074,,1000,,L0074,L0074,,,11480,15,high,32
1N5407-T,D0026,1N5407-T,diode,,DO-201AD,,500,,1N5407-T,DO-201AD,,,11240,25,medium,16
330^_AXIAL,R0116,330^ 5% 0.25W AXIAL LF,resistor,330^,AXIAL,,250,,330^_AXIAL,SFR16S,,,11237,55,high,1
330^_0805,RSM0100,330^ 1/8W 1% 0805,resistor,330^,0805,,250,,330^_0805,RESC2012X65,,,10301,56,high,12
L0075,L0075,Rottendog Amusements 7 seg dis,led,,L0075,,500,,L0075,L0075,,,10225,17,high,13
100UF_35V_ALE,CSM0100,CAP ALE 100UF 35V 20% SMD,capacitor,100UF,CAPAE660X800N,,250,,100UF_35V_ALE,CAPAE660X800N,,,10212,34,low,44
0^_AXIAL,R0030,0^ 0.25W AXIAL LF,resistor,0^,AXIAL,,100,,0^_AXIAL,SFR16S,,,10154,78,high,15
10^_0603,R0103,10^ 5% 0.25W,resistor,10^,RESC1608X60,,250,,10^_0603,RESC1608X60,,,10128,36,low,38
SN74HCT240N,IC0253,"IC, 74HCT240, DIP",ic,,DIL20-LARDO,,100,,SN74HCT240N,DIL20-LARDO,,,9640,70,medium,4
ICSM0196,ICSM0196,Optotriac No ZC,ic,,ICSM0196,,250,,ICSM0196,ICSM0196,,,9404,42,high,1
470^_0603,RSM0155,470^ 1/10W 1% 0603,resistor,470^,0603,,500,,470^_0603,RESC1608X60,,,9347,20,high,18
3.3K_0603,RSM0139,3.3K 1/10W 1% 0603,resistor,3.3K,0603,,500,,3.3K_0603,RESC1608X60,,,8756,20,high,10
1.2K_1W_AXIAL,R0095,1.2K 5% 0.25W AXIAL LF,resistor,1.2K,AXIAL,,250,,1.2K_1W_AXIAL,SFR16S,,,8720,31,high,1
10M_0805_1%,RSM0073,RES 10M 1/8W 1% 0805,resistor,10M,0805,,100,,10M_0805_1%,RESC2012X65,,,8258,68,medium,3
10UF_1206_10%_25V,CSM0202,10uF 35V X5R 1206,capacitor,10UF,1206,,500,,10UF_1206_10%_25V,CAPC3216X135,,,8240,11,high,10
MOC3052SM,IC0042,MOC3010M,ic,,6-SMD,,250,,MOC3052SM,6-SMD,,,7889,34,medium,28
47UF_25V_RAD,CSM0094,CAP ALE 47uF 50V 10mm S/M,capacitor,47UF,UVR1E470MDD,,500,,47UF_25V_RAD,UVR1E470MDD,,,7655,18,low,1
150^_0603,RSM0131,RES 150 OHM 1/10W 1% 0603 SMD,resistor,150^,0603,,250,,150^_0603,RESC1608X60,,,7459,32,high,111
SN74HCT244N,IC0014,IC SN74HCT244N,ic,,DIL20-LARDO,,250,,SN74HCT244N,DIL20-LARDO,,,7348,41,medium,3
27K_0805_0.125W,RSM0033,27K 5% 1/8W 0805,resistor,27K,0805,,250,,27K_0805_0.125W,RESC2012X65,,,7286,25,high,11
140K_0603,RSM0265,140K 1% 1/10W 0603,resistor,140K,0603,,250,,140K_0603,RESC1608X60,,,6840,19,high,5
1UF_0603,CSM0158,1uF 25V X7R 0603,capacitor,1UF,0603,,250,,1UF_0603,CAPC1608X85,,,6674,34,medium,18
2.2K_0805,RSM0136,2.2K 1/8W 1% 0805,resistor,2.2K,0805,,500,,2.2K_0805,RESC2012X65,,,6470,14,high,3
4.7UF_0805,CSM0092,CAP CER 4.7uF 16V Y5V 0805,capacitor,4.7UF,0805,,500,,4.7UF_0805,CAPC2012X110,,,6332,15,medium,36
470UF_35V_RAD,C0142,470uF ELECTROYLYTIC 35V 20%,capacitor,470UF,WCAP-ATG5_10X16(DXL),,100,,470UF_35V_RAD,WCAP-ATG5_10X16(DXL),,,6324,53,low,4
100UF_35V_ALE,C0010,100UF 25V ALE AXIAL LF,capacitor,100UF,AXIAL,,100,,100UF_35V_ALE,CAPAE660X800N,,,6278,48,low,44
LED_RED_0805,L0060,LOW PROF DISCRETE RED LF,led,RED,LEDC2012X110N_B,,500,,LED_RED_0805,LEDC2012X110N_B,,,6267,12,medium,62
MOC3063SR2M,IC0257,Optical Triac Driver MOC3063,ic,,IC_6-SMD,,250,,MOC3063SR2M,IC_6-SMD,,,5952,33,medium,18
2.2UF_0603,CSM0171,2.2uF 50V X5R 0603,capacitor,2.2UF,0603,,250,,2.2UF_0603,CAPC1608X85,,,5900,21,high,34
